"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/1982","118.01","119.08","119.92","118.01","268.32M","-1.22%"
"05/02/1982","119.47","115.96","119.89","115.91","298.74M","2.60%"
"04/25/1982","116.44","118.94","119.33","116.07","267.04M","-1.85%"
"04/18/1982","118.64","116.81","118.64","114.83","307.21M","1.57%"
"04/11/1982","116.81","116.22","117.70","114.80","241.92M","0.51%"
"04/04/1982","116.22","115.12","116.94","113.70","203.42M","0.96%"
"03/28/1982","115.12","111.94","115.79","110.90","241.20M","2.84%"
"03/21/1982","111.94","110.71","114.51","110.71","268.49M","1.20%"
"03/14/1982","110.61","108.61","111.59","107.47","241.69M","1.84%"
"03/07/1982","108.61","109.34","111.06","104.46","305.39M","-0.67%"
"02/28/1982","109.34","113.11","114.80","108.31","328.82M","-3.33%"
"02/21/1982","113.11","113.22","114.90","110.03","281.21M","-0.10%"
"02/14/1982","113.22","114.38","115.09","112.06","208.69M","-1.01%"
"02/07/1982","114.38","117.04","117.04","112.82","233.34M","-2.46%"
"01/31/1982","117.26","119.81","119.81","114.88","248.95M","-2.61%"
"01/24/1982","120.40","115.38","121.38","113.63","278.19M","4.35%"
"01/17/1982","115.38","116.33","118.15","114.29","231.83M","-0.82%"
"01/10/1982","116.33","119.55","120.34","114.07","237.08M","-2.69%"
"01/03/1982","119.55","122.55","123.72","117.70","221.24M","-2.45%"
"12/27/1981","122.55","122.54","123.42","121.04","147.36M","0.01%"
"12/20/1981","122.54","124.00","124.71","121.57","156.46M","-1.18%"
"12/13/1981","124.00","124.37","124.87","121.73","229.81M","-0.74%"
"12/06/1981","124.93","126.26","126.91","123.52","228.54M","-1.05%"
"11/29/1981","126.26","125.09","127.32","123.63","244.88M","0.94%"
"11/22/1981","125.09","121.71","125.71","120.76","189.79M","2.78%"
"11/15/1981","121.71","121.64","122.59","119.13","237.81M","0.03%"
"11/08/1981","121.67","122.67","124.71","121.06","245.44M","-0.82%"
"11/01/1981","122.67","122.35","126.00","121.85","267.30M","0.64%"
"10/25/1981","121.89","118.60","122.53","116.81","238.98M","2.77%"
"10/18/1981","118.60","119.19","121.94","117.58","224.23M","-0.50%"
"10/11/1981","119.19","121.45","122.37","118.01","194.28M","-1.86%"
"10/04/1981","121.45","119.36","123.28","118.08","243.93M","1.75%"
"09/27/1981","119.36","112.77","120.16","110.19","247.96M","5.84%"
"09/20/1981","112.77","116.26","118.19","111.64","247.37M","-3.00%"
"09/13/1981","116.26","121.61","122.00","115.18","211.93M","-4.40%"
"09/06/1981","121.61","120.07","122.18","116.85","180.85M","1.28%"
"08/30/1981","120.07","124.08","125.58","119.24","207.53M","-3.23%"
"08/23/1981","124.08","128.59","128.59","122.85","223.25M","-3.99%"
"08/16/1981","129.23","132.49","133.02","128.70","203.44M","-2.46%"
"08/09/1981","132.49","131.75","135.18","130.83","229.66M","0.56%"
"08/02/1981","131.75","130.92","134.04","129.42","223.84M","0.63%"
"07/26/1981","130.92","128.46","131.78","128.28","200.42M","1.91%"
"07/19/1981","128.46","130.60","130.60","125.96","215.69M","-1.76%"
"07/12/1981","130.76","129.37","131.60","128.14","214.07M","1.07%"
"07/05/1981","129.37","128.64","130.43","126.39","229.61M","0.57%"
"06/28/1981","128.64","132.56","133.50","127.84","173.66M","-2.96%"
"06/21/1981","132.56","132.27","134.30","131.10","223.44M","0.22%"
"06/14/1981","132.27","133.49","135.67","130.49","271.43M","-0.91%"
"06/07/1981","133.49","132.22","135.09","130.94","259.70M","0.96%"
"05/31/1981","132.22","132.59","134.62","128.77","266.92M","-0.28%"
